true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,38,4,8,0,0,0,0,0
dog,0,38,9,0,0,1,0,2
fox,1,3,9,12,11,13,0,1
bear,0,3,9,36,2,0,0,0
wolf,0,1,4,0,45,0,0,0
rabbit,0,4,11,0,0,32,0,3
deer,0,2,2,8,0,0,36,2
horse,0,1,3,0,0,0,0,46
