true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,33,0,17,0,0,0,0,0
dog,5,43,1,0,0,0,0,1
fox,2,0,21,15,9,0,3,0
bear,0,0,0,46,0,1,3,0
wolf,0,0,0,4,45,0,1,0
rabbit,6,0,3,0,0,41,0,0
deer,0,0,1,1,0,6,40,2
horse,0,1,0,1,0,1,0,47
