group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_frozen_s_preservation_loss,normalized_frozen_s_preservation_distortion,frozen_s_delta_vs_variant_c,frozen_s_ratio_vs_variant_c,anchor_feature_drift,anchor_delta_vs_variant_c,anchor_ratio_vs_variant_c,anchor_delta_vs_variant_d,orthogonality_residual,exact_mapping_residual,determinant
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95586847751872883,0.9558684775194487,4130.8825354005921,0.077062706162456071,0,1,0.17713747237673239,0,1,-0.70395889478642382,2.5882559352677078e-11,,-1.0000000004410539
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.2192448732305945e-29,2.3010174960569238e-29,2646.7372341449968,0.04937558306638417,-0.027687123096071901,0.64071955846314799,0.8810963671631562,0.70395889478642382,4.9740823064769621,0,2.4246265730520347e-11,1.3712137080515817e-14,-1.0000000004146643
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,2.2081870673071853e-29,2.2964804426367197e-29,102822.26424581013,1.9181765321644211,1.841113826001965,24.891113064738587,0.74654288549035563,0.56940541311362325,4.2144831100594198,-0.13455348167280057,2.1751884552070342e-11,1.3674432978149557e-14,-1.0000000003773348
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95649091835706468,0.95649091835787248,5533.9013414690808,0.066609979078973452,0,1,0.2054703439426713,0,1,-0.69880116911329282,2.5270228287025853e-11,,-1.0000000004318281
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.5472398264930108e-29,2.6212129787843631e-29,3994.2203806188149,0.048077282114899297,-0.018532696964074155,0.7217729652474203,0.90427151305596409,0.69880116911329282,4.4009831088240485,0,2.3635535712853841e-11,1.8163966839211518e-14,1.0000000003999989
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,2.5358100407690327e-29,2.618753640309499e-29,161343.91833269439,1.9420503477583404,1.875440368679367,29.155546580427931,0.79961104929058857,0.5941407053479173,3.8916129400829234,-0.10466046376537552,2.161998256293906e-11,1.8018817741935249e-14,-1.0000000003755105
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95243691651962958,0.95243691652034634,5793.378481978908,0.070015833811373954,0,1,0.19058168145991553,0,1,-0.70187569992497034,2.5497620927205866e-11,,-1.0000000004372809
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,3.3240856177068703e-29,3.3903738412564785e-29,4425.0822763065089,0.053479299897855506,-0.016536533913518447,0.76381722514269168,0.89245738138488584,0.70187569992497034,4.6828077837721969,0,2.5082927488279948e-11,1.5494637727346479e-14,-1.000000000426488
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,3.3099101548473823e-29,3.3798532605711048e-29,160213.64349868501,1.9362608316394618,1.8662449978280879,27.654613624338779,0.76650331220626766,0.57592163074635216,4.0219149413239066,-0.12595406917861818,2.1893304731518343e-11,1.5528640418323957e-14,1.0000000003809915
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95642131359109739,0.95642131359186067,6927.6015463309313,0.066911923567662415,0,1,0.17108847818419373,0,1,-0.83272500763544555,2.5332027019022109e-11,,1.0000000004349967
