group,target_names,anchor_names,layer_name,solver_variant,target_expanded_column_count,target_numerical_rank,anchor_expanded_column_count,anchor_numerical_rank,paper_erase_loss,preserve_loss,total_paper_objective,true_leakage,anchor_feature_drift,orthogonality_error,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1299250.625,3465.495849609375,-1295785.125,0.97348181406656897,0.13461026549339294,0.014712655916810036,1.2803272008895874
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1298178.75,5333.3154296875,-1292845.375,0.98572635650634766,0.12879742681980133,0.0162966288626194,1.3163143396377563
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298218.25,5134.427734375,-1293083.875,0.98580567042032874,0.12633344531059265,0.016817452386021614,1.32746422290802
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1299054.625,5134.322265625,-1293920.25,0.97658507029215491,0.12632358074188232,0.016850592568516731,1.3291420936584473
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1298046.625,6111.990234375,-1291934.625,0.98516464233398438,0.097861073911190033,0.015514636412262917,1.2970732450485229
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298046.625,6111.9599609375,-1291934.625,0.98515844345092773,0.097862422466278076,0.01492095272988081,1.2845172882080078
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1298923.5,6111.9658203125,-1292811.5,0.97458656628926599,0.097860671579837799,0.015503479167819023,1.2965576648712158
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1298223.625,5243.4658203125,-1292980.125,0.9847933451334635,0.10085447877645493,0.015781817957758904,1.3056129217147827
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1298206.5,5647.9326171875,-1292558.625,0.9846393267313639,0.11050397157669067,0.015610801987349987,1.3012661933898926
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1299061.625,5243.591796875,-1293818,0.97520828247070312,0.10085272043943405,0.016694854944944382,1.3290276527404785
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-655313.125,7719.978515625,-647593.125,0.97422170639038086,0.12535513937473297,0.0055235144682228565,1.0699477195739746
