edit_seed,variant,projection,layer,output_dimension,official_alpha_mean,official_alpha_std,official_alpha_min,official_alpha_max,official_alpha_p50,official_alpha_p95,official_alpha_p99,controlled_alpha_mean,controlled_alpha_std,controlled_alpha_min,controlled_alpha_max,controlled_alpha_p50,controlled_alpha_p95,controlled_alpha_p99,constant_alpha_value,constant_mean_abs_error,exact_multiset_preserved,identity_exact_all_ones,trace_B,frobenius_B,shuffle_salt,permutation_seed
20260820,official,to_v,0,320,0.009199221717426553,4.054509554205717e-06,0.009173921309411526,0.009199886582791805,0.009199854917824268,0.009199886582791805,0.009199886582791805,0.009199221717426553,4.054509554205717e-06,0.009173921309411526,0.009199886582791805,0.009199854917824268,0.009199886582791805,0.009199886582791805,,0.0,True,False,2.943750949576497,0.16456069673556736,,
20260820,official,to_v,1,320,0.009619974475936034,7.785529825726678e-05,0.009163005277514458,0.009633216075599194,0.009633182547986507,0.009633216075599194,0.009633216075599194,0.009619974475936034,7.785529825726678e-05,0.009163005277514458,0.009633216075599194,0.009633182547986507,0.009633216075599194,0.009633216075599194,,0.0,True,False,3.0783918322995305,0.17209295295099486,,
20260820,official,to_v,2,640,0.009161981544457376,3.6931589315063677e-05,0.008931507356464863,0.009167907759547234,0.009167876094579697,0.009167907759547234,0.009167907759547234,0.009161981544457376,3.6931589315063677e-05,0.008931507356464863,0.009167907759547234,0.009167876094579697,0.009167907759547234,0.009167907759547234,,0.0,True,False,5.863668188452721,0.23178371660785088,,
20260820,official,to_v,3,640,0.008683655054483097,7.120403115395263e-05,0.008207881823182106,0.008694310672581196,0.008694279938936234,0.008694310672581196,0.008694310672581196,0.008683655054483097,7.120403115395263e-05,0.008207881823182106,0.008694310672581196,0.008694279938936234,0.008694310672581196,0.008694310672581196,,0.0,True,False,5.557539234869182,0.21968840070959458,,
20260820,official,to_v,4,1280,0.008932332071708515,1.899090352271765e-05,0.008695638738572598,0.008935240097343922,0.008935216814279556,0.008935240097343922,0.008935240097343922,0.008932332071708515,1.899090352271765e-05,0.008695638738572598,0.008935240097343922,0.008935216814279556,0.008935240097343922,0.008935240097343922,,0.0,True,False,11.4333850517869,0.3195735490669829,,
20260820,official,to_v,5,1280,0.008696431007410865,1.3535158564672358e-05,0.008212598972022533,0.0086968457326293,0.008696823380887508,0.0086968457326293,0.0086968457326293,0.008696431007410865,1.3535158564672358e-05,0.008212598972022533,0.0086968457326293,0.008696823380887508,0.0086968457326293,0.0086968457326293,,0.0,True,False,11.131431689485908,0.31113335085583826,,
20260820,official,to_v,6,1280,0.008690086325077572,3.4802726495677686e-05,0.008455655537545681,0.008695307187736034,0.00869526993483305,0.008695307187736034,0.008695307187736034,0.008690086325077572,3.4802726495677686e-05,0.008455655537545681,0.008695307187736034,0.00869526993483305,0.008695307187736034,0.008695307187736034,,0.0,True,False,11.123310496099293,0.3109084714101907,,
20260820,official,to_v,7,1280,0.00915887950686738,7.905615679397962e-05,0.008332567289471626,0.009171350859105587,0.009171350859105587,0.009171350859105587,0.009171350859105587,0.00915887950686738,7.905615679397962e-05,0.008332567289471626,0.009171350859105587,0.009171350859105587,0.009171350859105587,0.009171350859105587,,0.0,True,False,11.723365768790245,0.3276902318998743,,
20260820,official,to_v,8,1280,0.008689446948847036,7.151007593920617e-05,0.008210436441004276,0.008700148202478886,0.008700125850737095,0.008700148202478886,0.008700148202478886,0.008689446948847036,7.151007593920617e-05,0.008210436441004276,0.008700148202478886,0.008700125850737095,0.008700148202478886,0.008700148202478886,,0.0,True,False,11.122492094524205,0.31089362393763686,,
20260820,official,to_v,9,640,0.008455774461617693,3.53718490272596e-05,0.008210301399230957,0.00846087746322155,0.008460849523544312,0.00846087746322155,0.00846087746322155,0.008455774461617693,3.53718490272596e-05,0.008210301399230957,0.00846087746322155,0.008460849523544312,0.00846087746322155,0.00846087746322155,,0.0,True,False,5.411695655435324,0.21391792214174118,,
