comparison,scope,concept,edit_seed,delta_accuracy,delta_unlearn,delta_preserve,delta_overall,same_direction_count,total_seeds
official_vs_identity_B,per_target,tiger cat,20260822,1.6666666666666643,,,,,
official_vs_identity_B,per_target,tiger cat,20260823,0.0,,,,,
official_vs_identity_B,per_target,tiger cat,20260824,0.0,,,,,
official_vs_identity_B,per_target_five_seed_mean,tiger cat,mean,0.8333333333333315,,,,0,5
official_vs_identity_B,per_target,orange,20260820,-1.666666666666667,,,,,
official_vs_identity_B,per_target,orange,20260821,-0.833333333333333,,,,,
official_vs_identity_B,per_target,orange,20260822,-2.499999999999999,,,,,
official_vs_identity_B,per_target,orange,20260823,0.833333333333333,,,,,
official_vs_identity_B,per_target,orange,20260824,-0.833333333333333,,,,,
official_vs_identity_B,per_target_five_seed_mean,orange,mean,-0.9999999999999998,,,,4,5
official_vs_identity_B,per_target,lemon,20260820,-2.5,,,,,
official_vs_identity_B,per_target,lemon,20260821,0.0,,,,,
official_vs_identity_B,per_target,lemon,20260822,-0.8333333333333321,,,,,
official_vs_identity_B,per_target,lemon,20260823,-0.8333333333333339,,,,,
official_vs_identity_B,per_target,lemon,20260824,0.0,,,,,
official_vs_identity_B,per_target_five_seed_mean,lemon,mean,-0.8333333333333333,,,,3,5
official_vs_identity_B,per_target,yawl,20260820,2.5,,,,,
official_vs_identity_B,per_target,yawl,20260821,0.0,,,,,
official_vs_identity_B,per_target,yawl,20260822,-2.5,,,,,
official_vs_identity_B,per_target,yawl,20260823,3.3333333333333357,,,,,
official_vs_identity_B,per_target,yawl,20260824,-4.166666666666664,,,,,
official_vs_identity_B,per_target_five_seed_mean,yawl,mean,-0.1666666666666657,,,,2,5
official_vs_identity_B,per_target,lifeboat,20260820,-0.833333333333333,,,,,
official_vs_identity_B,per_target,lifeboat,20260821,-0.833333333333333,,,,,
official_vs_identity_B,per_target,lifeboat,20260822,-2.5,,,,,
official_vs_identity_B,per_target,lifeboat,20260823,1.6666666666666665,,,,,
official_vs_identity_B,per_target,lifeboat,20260824,-1.6666666666666665,,,,,
official_vs_identity_B,per_target_five_seed_mean,lifeboat,mean,-0.8333333333333333,,,,4,5
official_vs_identity_B,per_target,soccer ball,20260820,-3.3333333333333286,,,,,
official_vs_identity_B,per_target,soccer ball,20260821,-3.3333333333333286,,,,,
official_vs_identity_B,per_target,soccer ball,20260822,-2.4999999999999964,,,,,
official_vs_identity_B,per_target,soccer ball,20260823,-1.6666666666666643,,,,,
official_vs_identity_B,per_target,soccer ball,20260824,0.8333333333333286,,,,,
official_vs_identity_B,per_target_five_seed_mean,soccer ball,mean,-1.9999999999999978,,,,4,5
official_vs_identity_B,per_target,volleyball,20260820,0.8333333333333339,,,,,
official_vs_identity_B,per_target,volleyball,20260821,0.8333333333333321,,,,,
official_vs_identity_B,per_target,volleyball,20260822,0.8333333333333321,,,,,
official_vs_identity_B,per_target,volleyball,20260823,-0.8333333333333321,,,,,
official_vs_identity_B,per_target,volleyball,20260824,2.5,,,,,
official_vs_identity_B,per_target_five_seed_mean,volleyball,mean,0.8333333333333333,,,,1,5
constant_mean_vs_identity_B,aggregate,,20260820,,0.0,0.055555555555557135,0.04890999788705841,,
constant_mean_vs_identity_B,aggregate,,20260821,,0.16666666666666785,-0.38888888888889284,-0.38197210257834513,,
constant_mean_vs_identity_B,aggregate,,20260822,,0.25,0.055555555555557135,-0.006888073621972524,,
constant_mean_vs_identity_B,aggregate,,20260823,,-0.33333333333333215,-0.055555555555557135,0.026281229327842937,,
constant_mean_vs_identity_B,aggregate,,20260824,,0.16666666666666785,-0.3333333333333286,-0.33247433572306306,,
