comparison,scope,concept,edit_seed,delta_accuracy,delta_unlearn,delta_preserve,delta_overall,same_direction_count,total_seeds
official_vs_shuffled,per_target,golden retriever,20260820,-0.8333333333333339,,,,,
official_vs_shuffled,per_target,golden retriever,20260821,1.6666666666666679,,,,,
official_vs_shuffled,per_target,golden retriever,20260822,0.0,,,,,
official_vs_shuffled,per_target,golden retriever,20260823,0.0,,,,,
official_vs_shuffled,per_target,golden retriever,20260824,0.0,,,,,
official_vs_shuffled,per_target_five_seed_mean,golden retriever,mean,0.1666666666666668,,,,1,5
official_vs_shuffled,per_target,labrador retriever,20260820,-0.8333333333333321,,,,,
official_vs_shuffled,per_target,labrador retriever,20260821,1.6666666666666643,,,,,
official_vs_shuffled,per_target,labrador retriever,20260822,0.8333333333333321,,,,,
official_vs_shuffled,per_target,labrador retriever,20260823,-0.8333333333333357,,,,,
official_vs_shuffled,per_target,labrador retriever,20260824,0.8333333333333357,,,,,
official_vs_shuffled,per_target_five_seed_mean,labrador retriever,mean,0.33333333333333287,,,,2,5
official_vs_shuffled,per_target,tabby,20260820,-0.8333333333333339,,,,,
official_vs_shuffled,per_target,tabby,20260821,0.8333333333333339,,,,,
official_vs_shuffled,per_target,tabby,20260822,-0.8333333333333339,,,,,
official_vs_shuffled,per_target,tabby,20260823,0.8333333333333321,,,,,
official_vs_shuffled,per_target,tabby,20260824,-1.666666666666666,,,,,
official_vs_shuffled,per_target_five_seed_mean,tabby,mean,-0.3333333333333336,,,,3,5
official_vs_shuffled,per_target,tiger cat,20260820,-0.8333333333333357,,,,,
official_vs_shuffled,per_target,tiger cat,20260821,0.0,,,,,
official_vs_shuffled,per_target,tiger cat,20260822,-0.8333333333333357,,,,,
official_vs_shuffled,per_target,tiger cat,20260823,0.0,,,,,
official_vs_shuffled,per_target,tiger cat,20260824,0.0,,,,,
official_vs_shuffled,per_target_five_seed_mean,tiger cat,mean,-0.33333333333333426,,,,2,5
official_vs_shuffled,per_target,orange,20260820,0.8333333333333321,,,,,
official_vs_shuffled,per_target,orange,20260821,-1.666666666666667,,,,,
official_vs_shuffled,per_target,orange,20260822,-1.666666666666666,,,,,
official_vs_shuffled,per_target,orange,20260823,-0.8333333333333339,,,,,
official_vs_shuffled,per_target,orange,20260824,0.0,,,,,
official_vs_shuffled,per_target_five_seed_mean,orange,mean,-0.666666666666667,,,,3,5
official_vs_shuffled,per_target,lemon,20260820,0.0,,,,,
official_vs_shuffled,per_target,lemon,20260821,0.8333333333333321,,,,,
official_vs_shuffled,per_target,lemon,20260822,-2.5,,,,,
official_vs_shuffled,per_target,lemon,20260823,0.0,,,,,
official_vs_shuffled,per_target,lemon,20260824,-1.666666666666666,,,,,
official_vs_shuffled,per_target_five_seed_mean,lemon,mean,-0.6666666666666667,,,,2,5
official_vs_shuffled,per_target,yawl,20260820,0.8333333333333357,,,,,
official_vs_shuffled,per_target,yawl,20260821,0.8333333333333357,,,,,
official_vs_shuffled,per_target,yawl,20260822,-1.6666666666666643,,,,,
official_vs_shuffled,per_target,yawl,20260823,0.8333333333333357,,,,,
official_vs_shuffled,per_target,yawl,20260824,-0.8333333333333286,,,,,
official_vs_shuffled,per_target_five_seed_mean,yawl,mean,2.842170943040401e-15,,,,2,5
official_vs_shuffled,per_target,lifeboat,20260820,0.833333333333333,,,,,
official_vs_shuffled,per_target,lifeboat,20260821,-0.833333333333333,,,,,
official_vs_shuffled,per_target,lifeboat,20260822,-0.833333333333333,,,,,
official_vs_shuffled,per_target,lifeboat,20260823,0.8333333333333335,,,,,
official_vs_shuffled,per_target,lifeboat,20260824,0.0,,,,,
official_vs_shuffled,per_target_five_seed_mean,lifeboat,mean,8.881784197001253e-17,,,,2,5
official_vs_shuffled,per_target,soccer ball,20260820,-1.6666666666666643,,,,,
official_vs_shuffled,per_target,soccer ball,20260821,-0.8333333333333286,,,,,
official_vs_shuffled,per_target,soccer ball,20260822,0.0,,,,,
official_vs_shuffled,per_target,soccer ball,20260823,-3.333333333333332,,,,,
official_vs_shuffled,per_target,soccer ball,20260824,2.5,,,,,
official_vs_shuffled,per_target_five_seed_mean,soccer ball,mean,-0.666666666666665,,,,3,5
official_vs_shuffled,per_target,volleyball,20260820,1.666666666666666,,,,,
official_vs_shuffled,per_target,volleyball,20260821,1.666666666666666,,,,,
official_vs_shuffled,per_target,volleyball,20260822,1.666666666666666,,,,,
official_vs_shuffled,per_target,volleyball,20260823,-1.666666666666666,,,,,
official_vs_shuffled,per_target,volleyball,20260824,0.8333333333333339,,,,,
official_vs_shuffled,per_target_five_seed_mean,volleyball,mean,0.8333333333333333,,,,1,5
official_vs_identity_B,aggregate,,20260820,,-0.41666666666666785,0.3333333333333286,0.38789711985961617,,
official_vs_identity_B,aggregate,,20260821,,0.25,-0.055555555555557135,-0.10491709662267112,,
official_vs_identity_B,aggregate,,20260822,,-0.5833333333333321,0.5555555555555571,0.6225733933745943,,
official_vs_identity_B,aggregate,,20260823,,0.5833333333333357,-0.11111111111111427,-0.2291503912620385,,
official_vs_identity_B,aggregate,,20260824,,0.0,0.38888888888889284,0.3461545708711924,,
official_vs_identity_B,five_seed_mean_unlearn_accuracy,,mean,,-0.03333333333333286,,,2,5
official_vs_identity_B,five_seed_mean_preserve_accuracy,,mean,,,0.22222222222222143,,3,5
official_vs_identity_B,five_seed_mean_overall_accuracy,,mean,,,,0.20451151924413863,3,5
official_vs_identity_B,per_target,golden retriever,20260820,2.5,,,,,
official_vs_identity_B,per_target,golden retriever,20260821,3.333333333333334,,,,,
official_vs_identity_B,per_target,golden retriever,20260822,1.666666666666666,,,,,
official_vs_identity_B,per_target,golden retriever,20260823,0.8333333333333321,,,,,
official_vs_identity_B,per_target,golden retriever,20260824,3.333333333333334,,,,,
official_vs_identity_B,per_target_five_seed_mean,golden retriever,mean,2.333333333333333,,,,0,5
official_vs_identity_B,per_target,labrador retriever,20260820,-0.8333333333333321,,,,,
official_vs_identity_B,per_target,labrador retriever,20260821,0.0,,,,,
official_vs_identity_B,per_target,labrador retriever,20260822,0.0,,,,,
official_vs_identity_B,per_target,labrador retriever,20260823,0.0,,,,,
official_vs_identity_B,per_target,labrador retriever,20260824,0.8333333333333357,,,,,
official_vs_identity_B,per_target_five_seed_mean,labrador retriever,mean,7.105427357601002e-16,,,,1,5
official_vs_identity_B,per_target,tabby,20260820,-2.5,,,,,
official_vs_identity_B,per_target,tabby,20260821,2.5,,,,,
official_vs_identity_B,per_target,tabby,20260822,0.8333333333333339,,,,,
official_vs_identity_B,per_target,tabby,20260823,2.5,,,,,
official_vs_identity_B,per_target,tabby,20260824,-0.8333333333333339,,,,,
official_vs_identity_B,per_target_five_seed_mean,tabby,mean,0.5,,,,2,5
official_vs_identity_B,per_target,tiger cat,20260820,1.6666666666666643,,,,,
official_vs_identity_B,per_target,tiger cat,20260821,0.8333333333333286,,,,,
