variant,comparison_role,unlearn,preserve,overall,delta_unlearn,delta_preserve,delta_overall,favorable_unlearn_seeds,favorable_preserve_seeds,favorable_overall_seeds
official,formal_baseline,19.266666666666666,40.455555555555556,53.90070023677721,0.0,0.0,0.0,,,
projection_accumulation,historical_descriptive_only,19.766666666666666,45.84444444444444,58.34867148827667,0.5,5.388888888888886,4.44797125149946,1,5,5
projection_accumulation_direct_cos2,historical_descriptive_only,19.1,40.51111111111111,53.986365473066506,-0.1666666666666643,0.055555555555557135,0.08566523628929446,3,3,2
projection_accumulation_budget_matched_cos2,formal_treatment,19.366666666666667,40.72222222222222,54.11455596241028,0.10000000000000142,0.2666666666666657,0.2138557256330671,1,3,3
