metric,mean,std,median,min,max,improving_seed_count,total_seeds,improvement_definition
delta_unlearn,-2.1166666666666663,0.34661057238475684,-2.25,-2.5,-1.75,5,5,<= 0
delta_preserve,1.0222222222222228,0.5366218062685878,1.1111111111111072,0.38888888888889284,1.6111111111111143,5,5,> 0
delta_overall,1.3785348958986048,0.550807594107797,1.5065851596863098,0.7324801547763968,1.9862252393074087,5,5,> 0
