group,mean_delta_unlearn,mean_delta_preserve,mean_delta_overall,positive_preserve_seed_count,positive_overall_seed_count,total_seeds
dogs,-3.5833333333333335,1.0555555555555542,1.7730875075522505,3,5,5
cats,2.166666666666667,2.166666666666668,2.4453049626920333,5,5,5
fruits,-1.7499999999999998,1.7222222222222214,2.479598040558731,4,5,5
boats,-1.0833333333333328,-0.44444444444444287,0.43517471081833603,1,3,5
balls,-6.333333333333333,0.6111111111111122,1.5106866094766445,4,4,5
