edit_seed,group,official_unlearn_acc,matched_unlearn_acc,delta_unlearn_acc,official_preserve_acc,matched_preserve_acc,delta_preserve_acc,official_overall_acc,matched_overall_acc,delta_overall_acc
20260820,dogs,16.666666666666668,11.666666666666666,-5.000000000000002,46.111111111111114,47.5,1.3888888888888857,59.37052932761087,61.77914110429448,2.408611776683614
20260820,cats,27.916666666666668,30.416666666666668,2.5,19.444444444444443,21.38888888888889,1.9444444444444464,30.627212948912494,32.720101781170484,2.092888832257991
20260820,fruits,10.0,7.916666666666667,-2.083333333333333,18.61111111111111,18.61111111111111,0.0,30.843989769820972,30.964031785863654,0.12004201604268161
20260820,boats,20.833333333333332,20.0,-0.8333333333333321,91.94444444444444,93.33333333333333,1.3888888888888857,85.0784632034632,86.15384615384616,1.0753829503829593
20260820,balls,23.333333333333332,17.083333333333332,-6.25,26.944444444444443,27.77777777777778,0.8333333333333357,39.87488829311886,41.61438728565454,1.7394989925356796
20260821,dogs,15.416666666666666,12.5,-2.916666666666666,45.55555555555556,45.27777777777778,-0.27777777777777857,59.217360369975104,59.67573221757323,0.4583718475981229
20260821,cats,26.25,28.75,2.5,18.333333333333332,19.166666666666668,0.8333333333333357,29.36651583710407,30.2073732718894,0.8408574347853275
20260821,fruits,9.166666666666666,7.916666666666667,-1.2499999999999991,17.77777777777778,18.61111111111111,0.8333333333333321,29.735720375106563,30.964031785863654,1.2283114107570903
20260821,boats,20.416666666666668,20.833333333333332,0.4166666666666643,92.22222222222223,92.22222222222223,0.0,85.43788736189707,85.19719070772555,-0.24069665417151498
20260821,balls,23.75,16.25,-7.5,28.333333333333332,28.88888888888889,0.5555555555555571,41.31474103585657,42.9593094944513,1.6445684585947262
20260822,dogs,16.25,12.083333333333334,-4.166666666666666,45.833333333333336,47.22222222222222,1.3888888888888857,59.244372990353696,61.442274751627274,2.1979017612735774
20260822,cats,27.5,30.833333333333332,3.333333333333332,18.333333333333332,21.11111111111111,2.7777777777777786,29.266055045871557,32.34871794871795,3.0826629028463906
20260822,fruits,10.416666666666666,7.083333333333333,-3.333333333333333,18.333333333333332,20.833333333333332,2.5,30.437580437580436,34.03540903540904,3.5978285978286024
20260822,boats,22.083333333333332,20.416666666666668,-1.6666666666666643,92.5,92.22222222222223,-0.27777777777777146,84.5843520782396,85.43788736189707,0.8535352836574646
20260822,balls,22.5,15.833333333333334,-6.666666666666666,26.11111111111111,27.77777777777778,1.6666666666666679,39.06166219839142,41.770057899090155,2.7083957006987376
20260823,dogs,16.25,12.916666666666666,-3.333333333333334,46.94444444444444,46.94444444444444,0.0,60.164718384697125,61.00345423143351,0.8387358467363839
20260823,cats,27.083333333333332,29.166666666666668,2.0833333333333357,18.333333333333332,21.666666666666668,3.3333333333333357,29.29984779299848,33.18318318318318,3.883335390184701
20260823,fruits,8.333333333333334,7.5,-0.8333333333333339,16.666666666666668,19.72222222222222,3.0555555555555536,28.205128205128208,32.512376237623755,4.307248032495547
20260823,boats,19.166666666666668,19.166666666666668,0.0,93.88888888888889,91.66666666666667,-2.2222222222222143,86.87334393216746,85.9098228663446,-0.9635210658228601
20260823,balls,23.333333333333332,16.666666666666668,-6.666666666666664,28.055555555555557,26.666666666666668,-1.3888888888888893,41.07869142351901,40.4040404040404,-0.6746510194786097
20260824,dogs,15.416666666666666,12.916666666666666,-2.5,44.72222222222222,47.5,2.7777777777777786,58.50877192982457,61.47058823529412,2.9618163054695543
20260824,cats,28.333333333333332,28.75,0.41666666666666785,19.166666666666668,21.11111111111111,1.9444444444444429,30.244648318042813,32.57142857142857,2.3267802533857562
20260824,fruits,8.75,7.5,-1.25,17.5,19.72222222222222,2.2222222222222214,29.367816091954023,32.512376237623755,3.1445601456697325
20260824,boats,22.083333333333332,18.75,-3.333333333333332,93.05555555555556,91.94444444444444,-1.1111111111111143,84.81586785810994,86.26704089815557,1.4511730400456315
20260824,balls,20.416666666666668,15.833333333333334,-4.583333333333334,26.666666666666668,28.055555555555557,1.3888888888888893,39.947712418300654,42.08333333333334,2.135620915032689
